input_job_title,minimum_salary,Average_salary,maximum_salary
Fraud Operations Manager,$66431,$104869,$165550
Retirement Consultant,$51602,$87289,$147657
Tier 1 Agent,$42556,$68404,$109951
Advisory Associate,$51184,$82207,$132033
Cash Manager,$47792,$77259,$124895
Delivery Agent,$43751,$67208,$103242
Main Banker,$42727,$52050,$63406
Grill Cook,$27711,$38135,$52479
Testing Engineer,$58594,$90796,$140696
Master Carpenter,$40616,$60450,$89969
Workforce Management Supervisor,$37906,$62980,$104639
Enterprise Business Development Manager,$43741,$78586,$141190
Economic Consultant,$40814,$84879,$176517
Senior Economist,$86767,$133015,$203915
Juicer,$25772,$30780,$36760
Certified Child Life Specialist,$42809,$70497,$116093
Premier Relationship Manager,$36645,$69752,$132772
Aviation Structural Mechanic,$40654,$58059,$82915
Customer Experience Executive,$17904,$28291,$44704
Technical Support Associate,$33588,$55583,$91881
Interpreter Coordinator,$31521,$52895,$88761
Low Voltage Technician,$35916,$54372,$82311
Member Experience Lead,$16634,$39320,$92947
Intramural Sports Program Assistant,$24743,$38063,$58554
Market Sales Specialist,$36858,$79468,$171337
Learning Program Manager,$43378,$77229,$137498
Marine Security Guard,$28605,$38130,$50826
Traffic Management Coordinator,$19981,$26758,$35834
Technical Support Trainer,$42846,$68003,$107930
Lash Artist,$27056,$47554,$83580
Safety Advisor,$48338,$69782,$100739
Risk Investigator,$43240,$70261,$114167
Employee Relations Consultant,$50349,$78444,$122215
Support Planner,$35089,$51391,$75266
Patient Navigator,$23327,$34071,$49763
Package Delivery Driver,$43751,$67208,$103242
Customer Relations Advisor,$42207,$59360,$83483
Customer Service Provider,$35456,$59863,$101072
Supply Sergeant,$36354,$40285,$44642
Cloud Support Engineer,$81502,$122323,$183589
Tire Technician,$29710,$39110,$51485
Data Center Technician,$55127,$88156,$140974
Curriculum Designer,$40877,$69961,$119738
Transaction Processing Associate,$51184,$82207,$132033
Senior Investigator,$56442,$85629,$140608
Enterprise Risk Analyst,$54558,$85150,$132895
Member Care Representative,$36919,$51291,$71257
Senior Credit Specialist,$48531,$84425,$137858
Retail Staff,$32269,$45698,$64714
Medical Assistant Instructor,$19833,$32110,$70644
Prior Authorization Specialist,$27991,$45032,$72449
General Merchandise Team Leader,$28622,$36293,$46019
Replenishment Manager,$33666,$43283,$55646
Technical Support Executive,$33411,$55330,$91628
Marshal,$14500,$32647,$84113
Junior System Administrator,$43454,$60220,$83455
Senior Onboarding Manager,$50312,$78086,$114954
Director Of Human Resources,$105596,$140910,$195576
Histology Technician,$45283,$71476,$112821
Associate Wealth Manager,$48787,$92374,$174902
Project Support Manager,$34914,$61084,$106871
Student Success Manager,$45366,$63471,$88800
Industrial Design Contractor,$41525,$73690,$130771
Corporate Credit Analyst,$36206,$66553,$122337
Credit Risk Manager,$58606,$98963,$167107
Level I Fieldwork Student,$34150,$49919,$72969
Landscape Laborer,$29343,$40707,$56471
Associate Human Resources Manager,$55679,$80708,$116907
Senior Supply Chain Analyst,$58869,$93504,$148516
Warehouse Administrator,$44586,$63770,$91207
Personal Support Worker,$37651,$50428,$67540
Trainee Consultant,$51602,$87289,$147657
Mac Genius,$54406,$84394,$130911
Medical Office Associate,$47938,$65664,$89946
Commercial Driver,$58906,$82746,$116234
Senior Logistics Analyst,$55132,$82052,$122116
Benefit Verification Specialist,$38632,$61203,$96963
Food Service Team Member,$35456,$59863,$101072
Retail Associate Manager,$35909,$48606,$67622
Test Examiner,$34721,$68584,$135473
User Support Analyst,$35117,$58519,$97517
Control Room Supervisor,$48753,$79554,$129814
Slot Manager,$36645,$69752,$132772
Biology Teacher,$14500,$28117,$55512
Regional Training Specialist,$39800,$59079,$87696
Claims Case Manager,$28094,$45289,$73008
Deputy General Counsel,$88374,$143829,$234082
Loss Prevention Consultant,$36706,$58648,$93707
Pharmaceutical Assistant,$38697,$59140,$90385
Senior Scientist,$77194,$111091,$159871
Chief Scientific Officer,$120522,$172487,$258473
Senior Epidemiologist,$57197,$85020,$126378
Vocational Rehabilitation Counselor,$32137,$45173,$63497
Senior Environmental Scientist,$60078,$89458,$133204
Technology Integration Coach,$19234,$36172,$68027
Auto Appraiser,$34838,$58382,$97837
Divisional Vice President,$91088,$147332,$238305
Transmission Engineer,$59731,$100443,$168903
Staff Research Associate,$39313,$62576,$99606
Senior Systems Engineer,$81444,$121740,$181974
Certified Consultant,$51602,$87289,$147657
It Internal Audit Director,$56432,$89112,$140718
International Trade Compliance Analyst,$41247,$71211,$122942
Skills Trainer,$26565,$41191,$63870
Director Of Risk Management,$58606,$98963,$167107
Aquaculture Technician,$22196,$39469,$70183
Services Sales Executive,$43092,$80795,$151484
Chemistry Technician,$28787,$42868,$63835
Game Programmer,$32862,$59044,$106085
Assistant Solicitor,$53770,$84131,$131635
Physician Partner,$95732,$177220,$328068
Senior Tooling Engineer,$76320,$103858,$143935
Tooling Engineer,$60478,$88016,$128093
System Technician Specialist,$42385,$80360,$152360
Research Engineer,$52652,$93694,$166727
Supervising Story Producer,$34962,$69686,$138896
Quality Assurance Consultant,$21540,$41379,$79489
Quality Consultant,$51602,$87289,$147657
Headmaster,$75851,$112403,$166569
Legal Advisor,$62282,$97840,$153699
Senior Legal Counsel,$98876,$161829,$264865
Senior Probation Officer,$48974,$62223,$103812
Deputy Probation Officer,$28931,$50283,$87393
Surgical Services Manager,$73553,$112759,$172864
Online Adjunct Faculty,$54582,$102777,$193526
Behavior Consultant,$51602,$87289,$147657
Cleaning Manager,$23448,$35264,$53036
Flight Nurse,$62404,$104779,$175930
Clinical Educator,$64293,$99551,$154144
Data Warehouse Consultant,$62977,$101120,$162365
Sale Manager,$40897,$82482,$166349
Neuropsychologist,$66737,$101711,$155012
Psychology Fellow,$27823,$52614,$99494
Clinical Informatics Analyst,$38588,$65912,$112584
Product Sales Representative,$37262,$70212,$132302
Family Physician,$95732,$177220,$328068
Prototype Developer,$59173,$96064,$155954
Physician Consultant,$95732,$177220,$328068
Medical Director,$100037,$169160,$286045
Physician Executive,$95732,$177220,$328068
Chief Medical Officer,$172093,$256309,$381738
Fast Food Worker,$20766,$29286,$41302
Networking Engineer,$60879,$93345,$143123
Pediatric Intensive Care Registered Nurse,$90337,$127182,$179054
Deputy Head,$38697,$59140,$90385
Drill Instructor,$16827,$32110,$61273
Wireline Field Engineer,$68322,$98635,$142396
Floor Technician,$27138,$36298,$48549
Verification Engineer,$48115,$81085,$136648
Senior Principal Engineer,$100266,$148360,$219521
Senior Research Scientist,$117641,$155315,$241574
Module Lead,$64369,$85281,$112986
Refrigeration Technician,$46616,$69931,$104909
Consulting Engineer,$56840,$102261,$183978
Contract Engineer,$59731,$100443,$168903
Senior Enrollment Manager,$43497,$69659,$106555
Electrical Helper,$30108,$44489,$65738
Logging Engineer,$59731,$100443,$168903
Clinical Data Associate,$29421,$54062,$99341
Senior Analyst Programmer,$59677,$95142,$151683
Senior Counsel,$98876,$161829,$264865
Development Engineer,$72401,$114832,$182129
Audit Director,$67071,$94413,$132900
Senior Server Engineer,$76865,$109141,$158717
Trainee Teacher,$14500,$28117,$55512
Cost Accounting Manager,$75742,$105323,$146458
Database Development Manager,$36151,$62282,$107301
Senior Dispatcher,$53631,$79796,$107449
Lead Architect,$83166,$125665,$189880
Design Engineering Manager,$54917,$85371,$132713
Senior Technology Engineer,$94199,$141609,$212882
Lean Six Sigma Master Black Belt,$66555,$99986,$150208
Six Sigma Master Black Belt,$66555,$99986,$150208
Master Black Belt,$66555,$99986,$150208
Research Attorney,$56832,$99043,$172605
Troop Commander,$43222,$79778,$147251
Journeyman Carpenter,$39095,$56414,$81406
Experiential Designer,$41343,$68817,$114548
Defensive Coordinator,$32316,$46706,$67504
Graduate Trainee Engineer,$30461,$44038,$63667
Planning Engineer,$58907,$98898,$166036
Licensed Clinical Psychologist,$81560,$111913,$153563
Employer Relations Manager,$36157,$56314,$87707
Franchise Area Director,$49838,$93672,$176060
Senior Systems Architect,$118383,$160063,$220229
Orchestra Director,$53306,$99247,$184783
Cashier Associate,$23568,$32147,$43774
Product Design Specialist,$62277,$107842,$181583
Mobile Application Developer,$94501,$135999,$195721
Drafting Manager,$36645,$69752,$132772
Clinical Psychologist Resident,$81560,$111913,$153563
Electrical Project Engineer,$65446,$94590,$136712
Safety Inspector,$33581,$57481,$98389
Analysis Engineer,$59731,$100443,$168903
Senior Electrical Engineer,$82968,$115119,$159728
Biostatistician,$76309,$116228,$177028
Public Health Director,$39771,$67616,$114955
Linux Administrator,$52332,$80548,$123979
Storage Engineer,$77311,$111486,$160768
Systems Integration Consultant,$48558,$80921,$134853
Gynecologist,$43862,$116733,$310663
Clinical Nurse Manager,$73500,$119853,$195440
Nurse Anesthetist,$154434,$212657,$292830
Security Operations Supervisor,$36747,$71256,$138170
Senior Development Officer,$21960,$65900,$197761
Respiratory Care Practitioner,$45646,$74078,$120218
Chief Executive Director,$71028,$137081,$264563
Clinical Applications Manager,$51386,$79118,$121815
Clinical Applications Specialist,$40104,$73780,$135735
Exploration Geologist,$23825,$39664,$66035
Senior Exploration Geologist,$65285,$98982,$150074
Chief Geologist,$85116,$110166,$151570
Exploration Manager,$23825,$39664,$66035
Administration Consultant,$51602,$87289,$147657
Senior Project Controls Manager,$80053,$114179,$162852
Doctor,$120542,$202030,$352878
Optometric Physician,$95732,$177220,$328068
Network Consulting Engineer,$77185,$114005,$168389
Therapy Program Manager,$43378,$77229,$137498
Technology Engineer,$59731,$100443,$168903
Vice President Of Engineering',$105591,$161473,$246927
First Vice President,$91088,$147332,$238305
Epic Willow Analyst,$56553,$83561,$123468
Chief Learning Officer,$79405,$134371,$227386
Senior Disaster Recovery Specialist,$55190,$83100,$102462
Division Controller,$86993,$122381,$172164
Tier 3 Support Engineer,$50458,$78585,$122392
Associate Medical Director,$100037,$169160,$286045
Scientific Director,$53306,$99247,$184783
Computer Analyst,$44265,$71262,$114726
Lead Functional Consultant,$93899,$129223,$182006
Roughneck,$33586,$46751,$65077
Drilling Supervisor,$35361,$58648,$97272
Lieutenant Colonel,$38026,$64531,$109512
Pediatrician,$99496,$161019,$260585
Pediatric Hospitalist,$215578,$335714,$522799
Chief Fellow,$27823,$52614,$99494
Purchasing Officer,$35012,$45504,$59141
Staff Pharmacist,$107466,$133873,$166768
Consultant Pharmacist,$99079,$130103,$170841
Psychiatrist,$180713,$271528,$407982
Consultant Psychiatrist,$180713,$271528,$407982
Water Resources Engineer,$42809,$74794,$130675
Technical Services Librarian,$36677,$57280,$89455
Scientific Assistant,$38697,$59140,$90385
Consultant Supervisor,$81301,$132308,$215317
Diving Supervisor,$30715,$43960,$62916
Science Manager,$71254,$111267,$173748
Procurement Engineer,$62403,$90271,$130585
Immigration Assistant,$38697,$59140,$90385
Nephrology Fellow,$27823,$52614,$99494
Property Officer,$23806,$42339,$75298
Lead Mechanical Engineer,$89520,$130251,$172154
Mechanical Project Engineer,$61114,$89671,$131573
Technology Architect,$80904,$118091,$172370
Mobility Specialist,$20782,$42690,$87691
Political Officer,$50927,$82916,$134999
Senior Engineering Specialist,$94199,$141609,$212882
Functional Manager,$52769,$95184,$171692
Senior Engineering Manager,$104224,$153824,$227027
Lead Data Engineer,$184459,$212632,$280427
Field Services Engineer,$56573,$78615,$109246
Senior Engagement Lead,$69360,$106089,$162268
Lead Technical Architect,$111898,$161262,$221429
Software Architect,$93967,$135647,$195813
Scientific Advisory Board Member,$32400,$56544,$98680
Medical Affairs Manager,$37859,$75079,$148890
Director Of Case Management,$71717,$112091,$175192
Interface Consultant,$51602,$87289,$147657
Patent Analyst,$38024,$61491,$99441
Electronics Engineer,$70377,$104574,$155387
Outpatient Clinical Dietitian,$49728,$64642,$84030
Senior Controller,$64080,$101521,$160839
Corporate Controller,$101877,$147757,$218775
Survey Manager,$74076,$102769,$142577
Start Up Specialist,$39162,$70245,$126000
Start Up Manager,$36645,$69752,$132772
Commissioning Specialist,$39162,$70245,$126000
Mechanical Commissioning Engineer,$62381,$91547,$134349
Senior Claims Manager,$79219,$112732,$160424
Senior Legal Advisor,$79893,$115451,$171310
Senior Mechanical Designer,$74575,$102637,$141257
Pharmacy Technician Instructor,$25339,$36233,$51809
Pharmacy Analyst,$46041,$72159,$113095
Staff Design Engineer,$71637,$121255,$205239
Verification Manager,$36645,$69752,$132772
Game Writer,$39839,$61676,$95482
Adjunct Math Professor,$73249,$123821,$209310
Medical Manager,$37859,$75079,$148890
Clinical Research Manager,$51386,$79118,$121815
Regional Medical Director,$49838,$93672,$176060
Senior Medical Director,$171349,$251246,$368396
Project Controls Director,$57703,$101143,$177287
Area Superintendent,$62952,$94515,$141902
Anesthesiologist,$294962,$408084,$573467
Research Economist,$62883,$109059,$189142
Validation Manager,$76163,$114223,$171302
Director Emeritus,$61882,$100698,$163862
Project Controls Analyst,$48613,$74339,$113678
Electronic Resources Librarian,$36677,$57280,$89455
Senior System Administrator,$66875,$95995,$137794
Cerner Consultant,$51602,$87289,$147657
Community Interpreter,$31521,$52895,$88761
Senior Supply Chain Planner,$55733,$93748,$152185
Surgery Coordinator,$25966,$39683,$60646
Engineering Group Lead,$102579,$143980,$202092
Study Director,$53306,$99247,$184783
Commissioning Technician,$22196,$39469,$70183
Community Development Consultant,$34723,$58944,$100059
Finance Executive,$50831,$96637,$183720
Oracle Consultant,$70508,$101518,$146165
End User Computing Analyst,$37749,$59026,$92295
Student Radiographer,$46621,$80495,$138979
Lead Radiologic Technologist,$47827,$82218,$140702
Mri Technologist,$89552,$119307,$158950
Process Improvement Analyst,$51689,$79495,$122258
Software Quality Engineer,$63871,$98715,$152570
Embedded Software Design Engineer,$68063,$101730,$152051
System Integrator,$53825,$90175,$151073
Emergency Physician,$51503,$110838,$238529
General Physician,$95732,$177220,$328068
Exhibiting Artist,$34022,$74525,$163249
Business Analysis Consultant,$45784,$75935,$125944
Research Chemist,$48614,$74461,$114051
Director Of Culture,$51963,$86587,$144280
Veterinary Technologist,$26800,$33651,$42252
Survey Supervisor,$50550,$79809,$126005
Epic Radiant Analyst,$56553,$83561,$123468
Customer Service Engineer,$35456,$59863,$101072
Scientific Consultant,$51602,$87289,$147657
Information Security Consultant,$53811,$69228,$89063
Infrastructure Specialist,$49666,$79908,$128563
Security Engineer,$42385,$80360,$152360
Organization Development Consultant,$34723,$58944,$100059
District Sales Supervisor,$47797,$67859,$96342
Bioinformatics Programmer,$32862,$59044,$106085
Medical Translator,$26162,$56859,$123573
Travel Nurse,$85808,$122554,$175037
Travel Registered Nurse,$85808,$122554,$175037
Directional Driller,$38133,$55803,$81661
Student Developer,$59173,$96064,$155954
Neonatologist,$154849,$226059,$330017
Pediatric Resident,$99496,$161019,$260585
Consulting Services Manager,$41587,$69772,$117058
Postdoctoral Research Associate,$42872,$59801,$83415
American Sign Language Instructor,$43695,$73101,$122297
Clinical Informaticist,$59941,$92144,$141646
Internal Medicine Resident Physician,$238037,$285911,$343414
Cardiology Fellow,$27823,$52614,$99494
National Board Certified Teacher,$14500,$28117,$55512
Senior Archaeologist,$47145,$76669,$119416
Network Operations Engineer,$60879,$93345,$143123
Cataloging Librarian,$36677,$57280,$89455
Pediatric Neurosurgeon,$44472,$120984,$329131
Geophysicist,$65148,$108758,$181562
Consulting Geophysicist,$65148,$108758,$181562
Java Consultant,$51602,$87289,$147657
Network Support Engineer,$60879,$93345,$143123
Materials Engineer,$62041,$93666,$141411
Ecologist,$46886,$71995,$110549
Deputy Commissioner,$38179,$76505,$153307
Programme Manager,$43378,$77229,$137498
Database Administration Manager,$36151,$62282,$107301
Training Captain,$35203,$71494,$145200
Plan Representative,$43110,$69083,$110704
Automation Manager,$69645,$102752,$165772
Lead Mammography Technologist,$51880,$73518,$107126
Senior Technical Director,$106960,$147794,$204216
Supervising Editor,$36333,$62817,$108606
Senior Casualty Adjuster,$61274,$82366,$110718
Claims Service Leader,$40383,$66060,$108063
Field Application Engineer,$80937,$115864,$165863
Python Developer,$69111,$113715,$187105
Draughtsman,$45089,$65752,$95883
Medical Examiner,$34721,$68584,$135473
Conference Interpreter,$31521,$52895,$88761
Citrix Architect,$59602,$97265,$158729
Senior Hardware Engineer,$98270,$134909,$185208
Team Physician,$95732,$177220,$328068
Orthopedic Surgeon,$77188,$162008,$340037
Staff Mechanical Engineer,$61114,$89671,$131573
Town Manager,$25929,$39615,$60526
City Administrator,$43708,$74678,$127592
Prevention Program Coordinator,$26566,$38401,$55507
Go Live Consultant,$51602,$87289,$147657
Credentialed Trainer,$25803,$54301,$114273
Production Superintendent,$52030,$67907,$88628
Maintenance Controller,$73150,$107719,$158625
Aviation Consultant,$51825,$74959,$108419
Radiographer,$46621,$80495,$138979
Parts Consultant,$51602,$87289,$147657
Chemistry Supervisor,$35361,$58648,$97272
Advisory Panel,$31239,$44582,$63625
Network Management Specialist,$31159,$55761,$99789
Enterprise Architect,$100644,$140758,$196861
Lead Enterprise Architect,$120080,$168524,$224626
Enterprise Information Architect,$100644,$140758,$196861
Research And Development Manager,$37951,$66306,$115844
Elementary Principal,$60662,$103610,$176963
Principal Director,$106547,$169159,$271312
Senior Property Accountant,$68017,$85778,$109282
Production Control Supervisor,$52030,$67907,$88628
Data Quality Consultant,$62977,$101120,$162365
Executive Trainer,$25803,$54301,$114273
Epic Support Analyst,$35117,$58519,$97517
Epic Cadence Consultant,$92772,$144259,$224319
Epic Ambulatory Consultant,$92772,$144259,$224319
Motion Graphics Artist,$28146,$50363,$90116
Head Of Ecommerce,$40734,$68187,$114142
Configuration Management Engineer,$59409,$94012,$148770
Safety Consultant,$36487,$68961,$130336
Pharmacovigilance Manager,$86970,$136009,$212699
Emergency Medicine Resident,$51503,$110838,$238529
Financial Systems Manager,$74199,$110987,$166015
Senior Superintendent,$85047,$122631,$176825
Physiotherapist,$59278,$73639,$91479
Senior Deployment Manager,$53248,$88126,$145849
Penetration Tester,$87556,$120505,$165852
Network Systems Engineer,$60879,$93345,$143123
Systems Administration Analyst,$53479,$81598,$124504
Oracle Functional Analyst,$62817,$94489,$142131
Open Source Developer,$59173,$96064,$155954
Test Pilot,$61735,$104245,$176027
Field Superintendent,$48901,$75125,$115414
Investment Director,$56661,$103012,$188548
Investment Banker,$39222,$91313,$212588
Senior Economic Advisor,$63015,$97108,$149646
Head Grower,$45107,$62970,$87908
Software Team Lead,$102579,$143980,$202092
Forensic Analyst,$52681,$95012,$171356
Private Secretary,$21580,$31346,$45531
Japanese Teacher,$14500,$28117,$55512
Specialist Leader,$39162,$70245,$126000
Linux Engineer,$79512,$118639,$177018
Organizational Effectiveness Manager,$53754,$85688,$136595
Electronics Mechanic,$35971,$59093,$97076
Senior Network Consultant,$90487,$128625,$182838
Senior Security Specialist,$77112,$120744,$179318
It Consultant,$52879,$81238,$124804
Senior Chemist,$56474,$82040,$119179
Assistant Clinical Professor,$43143,$72311,$121199
Software Development Team Leader,$54648,$98258,$176667
Enterprise Applications Consultant,$52670,$85870,$139995
Assistant Section Chief,$54231,$107396,$212680
Health Program Director,$38884,$67200,$116135
Family Medicine Resident,$234949,$283518,$342128
Deputy Commander,$43222,$79778,$147251
Nurse Injector,$62404,$104779,$175930
Operations Geologist,$38368,$63418,$104822
Plant Controller,$86316,$109564,$139073
Spiritual Counselor,$17267,$34069,$67219
Software Trainee,$48601,$57951,$69100
Dental Assisting Instructor,$16827,$32110,$61273
Software Engineering Lead,$119769,$161170,$219282
Senior Technical Program Manager,$101027,$148030,$216903
Metallurgist,$68330,$95394,$133179
Engineering Supervisor,$64882,$95723,$141221
Flight Surgeon,$271421,$298541,$328371
Senior Hardware Manager,$98270,$134909,$185208
Technical Training Manager,$44658,$71266,$113725
Epidemiologist,$40863,$64711,$102475
Veterinary Medical Officer,$109959,$191115,$332168
Drilling Manager,$36645,$69752,$132772
Prosecuting Attorney,$56832,$99043,$172605
Medical Staff Services Manager,$51062,$78599,$120988
Medicaid Analyst,$46041,$72159,$113095
Information Assurance Security Analyst,$58896,$89367,$135602
Lead Internal Auditor,$70713,$109514,$161120
Gaming Agent,$39018,$71133,$129683
Mine Geologist,$38368,$63418,$104822
Reconciliation Analyst,$46041,$72159,$113095
Architectural Project Manager,$58521,$86084,$126629
Systems Integrator,$53825,$90175,$151073
Product Support Engineer,$37960,$62885,$104178
Senior Telecom Engineer,$66041,$106249,$170935
Network Telecom Engineer,$66041,$106249,$170935
Android Engineer,$77990,$126293,$204511
Senior Android Engineer,$100722,$149025,$227243
Junior Professional Associate,$28837,$66481,$153266
Infrastructure Engineer,$66387,$119586,$215416
Executive Vaccine Representative,$50831,$96637,$183720
Plant Engineer,$69753,$97010,$134918
Senior Technology Development Engineer,$93070,$135501,$202798
Engineering Team Lead,$102579,$143980,$202092
Item Writer,$39839,$61676,$95482
Project Archaeologist,$37802,$63322,$106069
Commissioning Coordinator,$77598,$111467,$160118
Aftermarket Manager,$54501,$79948,$124164
Safety Instructor,$20923,$40965,$80203
Surveillance Investigator,$34378,$45859,$61174
Actuary,$116453,$156880,$220226
Chief Warrant Officer,$19357,$30556,$52772
Clinical Research Scientist,$98237,$150358,$230134
Corrections Sergeant,$31153,$47205,$71527
Hardware Design Engineer,$77737,$109413,$153997
Senior Talent Management Manager,$84632,$131865,$205457
Lead Data Architect,$115883,$168729,$226851
3D Modeler,$32231,$55383,$95164
Yeoman,$39452,$75358,$143943
Patternmaker,$30594,$46472,$70593
Chief Enlisted Manager,$55352,$94893,$162681
Deputy Director General,$61878,$102599,$170119
Senior Technical Architect,$98855,$140531,$199779
Senior Database Administrator,$79815,$110578,$153199
Contracts Negotiator Staff,$69276,$106928,$165044
Senior Human Resources Consultant,$60290,$92289,$141271
Market Risk Analyst,$51393,$80445,$125920
Science Educator,$31879,$63735,$127424
Facility Administrator,$43708,$74678,$127592
Psychometrist,$36135,$78644,$171159
Senior Solution Consultant,$77967,$109525,$153856
Client Service Partner,$32533,$48351,$71859
Holistic Health Practitioner,$90055,$145061,$233665
Vascular Surgery Fellow,$27823,$52614,$99494
Lead Systems Engineer,$93048,$143071,$203583
Senior Technologist,$53689,$78228,$116614
Diesel Technician,$57394,$82768,$119359
Process Design Engineer,$63724,$90252,$127825
Senior Contract Manager,$55291,$92751,$155589
Certified Dog Trainer,$29285,$66341,$150287
Network Operations Technician,$35962,$60701,$102459
Senior Service Analyst,$59465,$89049,$133351
Land Agent,$39018,$71133,$129683
Right Of Way Agent,$52128,$80709,$124961
Firmware Engineer,$80763,$122827,$186799
Staff Firmware Engineer,$80763,$122827,$186799
Microbiology Lab Assistant,$30367,$44988,$66649
Divisional Director,$53306,$99247,$184783
Eligibility Manager,$36645,$69752,$132772
Cardiac Cath Lab Manager,$109590,$151486,$209399
Corporate Security Manager,$38590,$69404,$124824
Chief Commercial Officer,$92858,$159918,$293661
Infrastructure Manager,$77004,$114070,$168979
Director Of Infrastructure,$53306,$99247,$184783
Police Sergeant,$51753,$79280,$121448
Cloud Operations Manager,$43669,$72020,$118776
Security Software Engineer,$54625,$108708,$216335
Senior Security Engineer,$56849,$94824,$166824
Cosmetology Instructor,$28150,$41226,$60377
Certified Nuclear Medicine Technologist,$76071,$115761,$176159
Certified Residential Appraiser,$35092,$64297,$117806
Chief Appraiser,$47933,$74631,$121985
Chief Scientist,$130292,$163148,$213629
Premier Field Engineer,$46919,$71820,$109937
Cloud Architect,$93967,$135647,$195813
Chief Meteorologist,$53402,$77004,$117530
Account Receivable Clerk,$43117,$58390,$79073
Linux Systems Engineer,$79512,$118639,$177018
Senior Linux Engineer,$100867,$139994,$198373
Accounting Officer,$57089,$124962,$273526
Audit Officer,$67071,$94413,$132900
Professor Emeritus,$61882,$100698,$163862
Senior Therapeutic Specialist,$55387,$84675,$144833
Senior Applications Engineer,$83496,$119540,$171143
Radiology Manager,$51935,$77155,$114622
Mammographer,$39121,$60759,$94367
Management Engineer,$36645,$69752,$132772
Family Pastor,$30659,$48525,$76804
Water Engineer,$42809,$74794,$130675
Lead Mechanic,$56628,$84524,$126162
Director Of Toxicology,$106070,$152011,$237547
Character Designer,$40877,$69961,$119738
Research Assistant Professor,$43143,$72311,$121199
Metrology Engineer,$51615,$83351,$134602
Metrologist,$35509,$50811,$72707
Aeronautical Engineer,$68102,$104206,$159453
Senior Applications Analyst,$67781,$93302,$128434
Assistant Store Team Leader,$35766,$54069,$81736
Engineering Director,$93471,$147007,$231207
Systems Engineering Manager,$65495,$103710,$164222
Independent Financial Consultant,$17999,$36032,$72135
Skilled Laborer,$30953,$45164,$65901
Locomotive Engineer,$59731,$100443,$168903
Private Equity Intern,$9583,$63759,$163881
Mining Consultant,$70425,$92667,$121932
Legal Officer,$50207,$70800,$99839
Neuropsychology Extern,$18990,$29021,$44352
Ophthalmologist,$99510,$184604,$342464
Indirect Sales Manager,$40897,$82482,$166349
Senior Trust Officer,$62966,$105306,$185869
Snubbing Supervisor,$35361,$58648,$97272
Transformation Manager,$74820,$118387,$187323
Director Of Nutrition Program,$38884,$67200,$116135
Animation Supervisor,$24105,$43331,$77892
Animation Director,$70116,$89342,$123903
Solicitor,$65548,$95909,$143413
Lead Software Architect,$114861,$165495,$225661
Arabic Teacher,$14500,$28117,$55512
Histotechnologist,$38518,$58203,$87947
Evaluation Manager,$36645,$69752,$132772
Data Integration Architect,$93967,$135647,$195813
Customer Engineering Manager,$43839,$78248,$139662
Public Health Consultant,$39771,$67616,$114955
Disease Intervention Specialist,$37173,$57111,$87740
Validation Project Manager,$55649,$86405,$134160
Senior Application Programmer,$82410,$104880,$134952
"Associate Director, Biostatistics",$59296,$103012,$178956
Advanced Medical Support Assistant,$33023,$46179,$64575
Neuroscience Specialist,$38412,$63010,$103361
Sales Designer,$40877,$69961,$119738
Network Contractor,$25770,$58713,$133767
Director Of Inventory Management,$41881,$62462,$93157
Interventional Pain Management Physician,$136885,$241481,$426002
Licensed Professional Engineer,$44905,$70091,$109403
Agronomist,$50334,$69860,$96960
Quality Improvement Project Manager,$68096,$93336,$127933
Emergency Medicine Physician,$67020,$126355,$254046
Physician Reviewer,$95732,$177220,$328068
Investigations Manager,$62849,$88920,$125807
Building Engineer,$41206,$57149,$79261
Senior Data Warehouse Architect,$111911,$147016,$195892
Lead Full Stack Developer,$157153,$201572,$271520
High School Principal,$75851,$112403,$166569
Transaction Advisory Services Manager,$55507,$101136,$184275
Senior Policy Advisor,$63015,$97108,$149646
Optometrist,$245212,$355291,$514786
Data Security Analyst,$59990,$92466,$142522
Director Of Security,$45870,$89752,$175612
Board Trustee,$46903,$89243,$169806
Medical Review Specialist,$19142,$44614,$103980
Principal Statistician,$87342,$135129,$190352
Hospitalist,$272036,$359563,$475252
Research Psychologist,$66737,$101711,$155012
Vice Commander,$43222,$79778,$147251
Data Warehouse Manager,$-19398,$17046,$81829
Data Warehouse Architect,$89485,$124590,$173466
Data Architect Consultant,$62977,$101120,$162365
Designer Assistant,$38733,$54471,$75598
Sleep Medicine Fellow,$27823,$52614,$99494
Completions Consultant,$51602,$87289,$147657
Completions Supervisor,$35361,$58648,$97272
R & D Engineer,$63406,$103633,$169380
Chief Nursing Officer,$79405,$134371,$227386
Family Ministries Pastor,$30659,$48525,$76804
Coaching Specialist,$19234,$36172,$68027
Director Of Relationship Management,$63645,$96752,$159772
Nursing Manager,$66054,$100177,$151927
Director Of Credit,$53306,$99247,$184783
Merchandise Team Member,$30588,$58075,$110260
Oil Trader,$49774,$95104,$181714
Oracle Application Database Administrator,$64365,$93450,$135679
Information Assurance Manager,$43697,$78652,$141568
Technical Translator,$26162,$56859,$123573
Credentialing Analyst,$46041,$72159,$113095
Risk Assurance Associate,$21540,$41379,$79489
Assistant Professor Of Surgery,$43143,$72311,$121199
Cerner Trainer,$25803,$54301,$114273
Clinical Informatics Manager,$51386,$79118,$121815
Executive Underwriter,$49800,$86789,$151251
Unity Developer,$59173,$96064,$155954
